con_28	con_52	con_101	con_118_d	con_153	con_138	con_180	sex
1.4	1.7	2.2	3.6	3.5	2	0.48	m
1.4	1.4	1	1.6	1.2	0.5	0.06	f
1.4	1.6	1.9	2.9	2.9	1.7	0.42	m
0.8	1.2	0.7	0.5	1	0.3	0.29	f
1.9	1	0.4	1.1	1	0.4	0.14	f
3.4	0.8	0.4	0.9	1.1	0.2	0.24	f
2.8	1.1	0.8	1.5	1.1	0.4	0	m
1.4	1.3	1.2	1.5	1.6	0.8	0.09	f
3.1	1.6	1.3	1.7	1.8	0.9	0.1	m
1.1	1.2	1.1	1.1	1.2	0.6	0	f
1.4	1.5	1.5	2.4	1.8	1.1	0.33	f
2.1	1.5	1.2	1.8	0.8	0.4	0.05	f
2.6	1.1	1	1.5	1.1	0.3	0.85	f
0	1	0.7	1.1	1.7	1.6	0.72	m
1.9	1.5	1	0.8	2	0.4	0	m
1	1.2	0.6	1.1	1.9	0.6	0	f
1.5	1.3	1.7	2.6	2	1.1	0.19	m
0.5	0.7	1.1	1.1	1.2	0.9	0.13	f
0.5	0.6	1.2	1.3	1.6	1.2	0.16	f
0.4	0.5	0.9	1.1	1.6	1.2	0.23	m
0.4	0.6	1	0.9	0.9	0.7	0.07	m
0.4	0.5	0.7	0.7	0.8	0.6	0.05	f
0.7	0.9	0.9	0.6	0.7	0.5	0.04	f
0.5	0.7	0.9	1.1	1.9	1.2	0.35	f
0.8	0.9	1.2	1.2	1.3	1	0.17	f
0.8	0.9	0.8	0.6	0.6	0.5	0.06	m
1	1.2	1.2	1	1	0.8	0.09	m
0.5	0.7	1.2	1.2	1.1	0.8	0.08	f
1.3	1	0.9	0.6	0.5	0.4	0.03	f
1.3	1.8	1.9	1.9	1.8	1.6	0.11	m
1.2	1.4	1.2	0.6	0.6	0.4	0.03	m
0.7	0.8	0.9	0.7	0.6	0.5	0.03	f
0.4	0.7	1.1	1	1	0.7	0.09	m
0.6	0.6	0.9	1	1	0.8	0.11	m
0.5	0.5	0.7	0.6	0.6	0.5	0.04	f
0.4	0.5	0.8	1	1.5	1	0.17	m
0.5	0.6	1.2	1.3	1.4	1.1	0.16	f
1	1.3	1.3	1.5	2.2	1.4	0.17	m
0.8	1	0.7	0.5	0.6	0.4	0.02	m
0.7	0.8	0.8	0.5	0.5	0.4	0.03	f
0.5	0.6	0.7	0.6	0.7	0.5	0.06	f
0.9	1.1	1.1	0.9	0.9	0.8	0.07	m
1	1.3	1.9	2.1	3.2	2.2	0.47	m
0.7	0.9	1.1	0.9	0.9	0.7	0.08	m
0.4	0.6	1	1	1.1	0.9	0.12	m
0.6	0.8	1.2	1	1.1	0.8	0.1	f
0.3	0.5	1	1	1	0.8	0.06	f
0.4	0.6	1	1	1	0.8	0.06	f
0.4	0.5	1	1	1.2	0.9	0.07	f
0.2	0.4	0.8	0.8	1	0.7	0.04	m
0.4	0.6	1	0.9	1	0.8	0.06	m
0.3	0.5	0.8	0.8	0.8	0.6	0.07	f
0.2	0.3	0.5	0.5	0.5	0.4	0.06	f
0.3	0.5	0.6	0.4	0.5	0.4	0.04	f
0.3	0.4	0.7	0.7	0.8	0.6	0.11	f
0.3	0.4	0.4	0.3	0.3	0.2	0.01	f
0.2	0.3	0.5	0.4	0.4	0.3	0.02	f
0.3	0.3	0.4	0.4	0.4	0.3	0.03	m
0.3	0.4	0.6	0.6	0.7	0.5	0.05	f
0.3	0.4	0.5	0.4	0.5	0.3	0.04	f
0.2	0.2	0.3	0.3	0.3	0.2	0.01	f
0.3	0.3	0.5	0.4	0.4	0.3	0.02	f
0.2	0.3	0.5	0.4	0.4	0.3	0.02	m
0.2	0.3	0.4	0.3	0.3	0.2	0.03	m
0.2	0.3	0.3	0.3	0.3	0.2	0.02	m
